x;y;p
87.70323696;197.86390224;-4654.9842616998
80.48862102;191.62476419999996;-4643.783313934276
80.48862102;191.62476419999996;-4643.783313934276
73.42631504999997;185.21371863000002;-4626.498001888351
73.42631504999997;185.21371863000002;-4626.498001888351
66.53079858;178.62367637999998;-4620.29652472185
66.53079858;178.62367637999998;-4620.29652472185
59.81313021000001;171.85252776;-4601.941514101575
59.81313021000001;171.85252776;-4601.941514101575
53.30628509999999;164.87867418;-4530.960039365551
53.30628509999999;164.87867418;-4530.960039365551
47.03010345;157.69643259;-4490.0367198687
47.03010345;157.69643259;-4490.0367198687
40.979456969999966;150.32332455;-4436.3134360314
40.979456969999966;150.32332455;-4436.3134360314
35.20378634999999;142.73305104;-4320.7634187837
35.20378634999999;142.73305104;-4320.7634187837
29.737119918000015;134.91754206000002;-4270.85765945055
29.737119918000015;134.91754206000002;-4270.85765945055
24.570000000000007;126.89999999999999;-4270.85765945055
24.570000000000007;126.89999999999999;-4270.85765945055
20.97753910799996;120.73605491999999;-4007.8050168003756
20.97753910799996;120.73605491999999;-4007.8050168003756
17.730222279000035;114.83408682;-3920.887041902775
17.730222279000035;114.83408682;-3920.887041902775
14.880257612999992;109.14083775;-3793.106413232325
14.880257612999992;109.14083775;-3793.106413232325
12.384552275999994;103.65894669000001;-3659.14020984435
12.384552275999994;103.65894669000001;-3659.14020984435
10.216993080000014;98.38187916000001;-3479.4464905320756
10.216993080000014;98.38187916000001;-3479.4464905320756
8.350611143999986;93.30389501999998;-3254.0123925051753
8.350611143999986;93.30389501999998;-3254.0123925051753
6.753090728999989;88.4208567;-3062.081888459213
6.753090728999989;88.4208567;-3062.081888459213
5.369514620999966;83.73435969;-2870.73190568682
5.369514620999966;83.73435969;-2870.73190568682
4.184288241000034;79.23259182;-2682.4307859312075
4.184288241000034;79.23259182;-2682.4307859312075
3.1716186930000054;74.90753396999999;-2459.5750015661474
3.1716186930000054;74.90753396999999;-2459.5750015661474
2.316936798900021;70.74887987999999;-2285.493678990585
2.316936798900021;70.74887987999999;-2285.493678990585
1.5718170044999868;66.75265250999999;-2139.939530541698
1.5718170044999868;66.75265250999999;-2139.939530541698
0.9257793477000231;62.90679434999999;-2004.942022272
0.9257793477000231;62.90679434999999;-2004.942022272
0.3738476115;59.19951948;-1890.3513709993504
0.3738476115;59.19951948;-1890.3513709993504
-0.09461336748003979;55.62094035;-1787.7037437554402
-0.09461336748003979;55.62094035;-1787.7037437554402
-0.4828758002999589;52.16102306999999;-1681.7409867253273
-0.4828758002999589;52.16102306999999;-1681.7409867253273
-0.7895106264000362;48.81024459;-1600.6897317694502
-0.7895106264000362;48.81024459;-1600.6897317694502
-1.0267822791000247;45.56107875;-1525.8138801450302
-1.0267822791000247;45.56107875;-1525.8138801450302
-1.1863999856999707;42.40522764;-1431.501770216228
-1.1863999856999707;42.40522764;-1431.501770216228
-1.2605215013999915;39.33603429;-1361.079206819955
-1.2605215013999915;39.33603429;-1361.079206819955
-1.263108753299963;36.34829943000001;-1289.431738413
-1.263108753299963;36.34829943000001;-1289.431738413
-1.1786174829000184;33.436993439999995;-1180.4523215421827
-1.1786174829000184;33.436993439999995;-1180.4523215421827
-0.9961162700999615;30.59849432999999;-1080.703124481015
-0.9961162700999615;30.59849432999999;-1080.703124481015
-0.7313840729999965;27.82825010099999;-979.4319993284402
-0.7313840729999965;27.82825010099999;-979.4319993284402
-0.3770705474999969;25.123861605000005;-850.8745549836001
-0.3770705474999969;25.123861605000005;-850.8745549836001
0.0755368213500307;22.48453293300001;-720.9147641205826
0.0755368213500307;22.48453293300001;-720.9147641205826
0.6158339100000021;19.906917065999995;-590.547118614705
0.6158339100000021;19.906917065999995;-590.547118614705
1.245110270999994;17.38978344900001;-445.7045517068025
1.245110270999994;17.38978344900001;-445.7045517068025
1.9676999975999643;14.933186426999999;-295.4910695378197
1.9676999975999643;14.933186426999999;-295.4910695378197
2.7777823527000143;12.534573294000005;-150.7899663361665
2.7777823527000143;12.534573294000005;-150.7899663361665
3.67048782000004;10.191453581999992;-7.210450138123576
3.67048782000004;10.191453581999992;-7.210450138123576
4.647070559999994;7.9036246739999925;139.38714677854577
4.647070559999994;7.9036246739999925;139.38714677854577
5.708308283999985;5.671111836000005;282.6898256094098
5.708308283999985;5.671111836000005;282.6898256094098
6.84932024099999;3.4912883429999986;418.94465423658755
6.84932024099999;3.4912883429999986;418.94465423658755
8.066713229999994;1.3618979595000011;548.29283327973
8.066713229999994;1.3618979595000011;548.29283327973
9.359008533000035;-0.7184668505999942;669.8554728098625
9.359008533000035;-0.7184668505999942;669.8554728098625
10.725062004000002;-2.7511603718999926;782.5796908295627
10.725062004000002;-2.7511603718999926;782.5796908295627
12.164119119000032;-4.737395562000001;888.8271275047501
12.164119119000032;-4.737395562000001;888.8271275047501
13.677454751999996;-6.676952604000003;989.9161643592902
13.677454751999996;-6.676952604000003;989.9161643592902
15.267092622000018;-8.568912168;1079.1059855484827
15.267092622000018;-8.568912168;1079.1059855484827
16.92972341399998;-10.416977456999994;1159.8205444616701
16.92972341399998;-10.416977456999994;1159.8205444616701
18.670550862000006;-12.217355319000006;1235.4723451072803
18.670550862000006;-12.217355319000006;1235.4723451072803
20.49783633899996;-13.96231104899999;1307.0053130140127
20.49783633899996;-13.96231104899999;1307.0053130140127
22.417612073999976;-15.644962074000006;1371.0769586002125
22.417612073999976;-15.644962074000006;1371.0769586002125
24.42700051200003;-17.267874017999993;1427.8301901109578
24.42700051200003;-17.267874017999993;1427.8301901109578
26.52593121000002;-18.830914017;1477.1019015022725
26.52593121000002;-18.830914017;1477.1019015022725
28.71552554700002;-20.332759551000002;1519.7268849986474
28.71552554700002;-20.332759551000002;1519.7268849986474
30.99912585000003;-21.76881038100001;1555.5118074767777
30.99912585000003;-21.76881038100001;1555.5118074767777
33.377033460000035;-23.139057447000003;1584.130007272365
33.377033460000035;-23.139057447000003;1584.130007272365
35.847165900000036;-24.448346147999995;1606.1402826141748
35.847165900000036;-24.448346147999995;1606.1402826141748
38.409595169999974;-25.69872478499999;1622.7698902655627
38.409595169999974;-25.69872478499999;1622.7698902655627
41.069943840000036;-26.88110211;1634.0625892034327
41.069943840000036;-26.88110211;1634.0625892034327
43.82393696999998;-28.008662216999998;1640.8190398542079
43.82393696999998;-28.008662216999998;1640.8190398542079
46.66736547;-29.098438670999997;1643.940547207875
46.66736547;-29.098438670999997;1643.940547207875
49.60655226000002;-30.142106339999987;1643.8474524044477
49.60655226000002;-30.142106339999987;1643.8474524044477
52.643713589999976;-31.142870789999993;1641.443967864225
52.643713589999976;-31.142870789999993;1641.443967864225
55.77553023000001;-32.123211389999994;1637.0422703540326
55.77553023000001;-32.123211389999994;1637.0422703540326
59.00385993000004;-33.09309969;1631.0518751772004
59.00385993000004;-33.09309969;1631.0518751772004
62.33748762000002;-34.04059764;1623.825488201175
62.33748762000002;-34.04059764;1623.825488201175
65.77665696000004;-34.984389660000005;1615.4633327705776
65.77665696000004;-34.984389660000005;1615.4633327705776
69.32243933999999;-35.943989009999996;1605.5750568137175
69.32243933999999;-35.943989009999996;1605.5750568137175
72.98246316000004;-36.916846830000004;1594.2508085131426
72.98246316000004;-36.916846830000004;1594.2508085131426
76.76690604000001;-37.89167664000001;1581.7266661122676
76.76690604000001;-37.89167664000001;1581.7266661122676
80.68581624000001;-38.858623080000015;1568.2404701555552
80.68581624000001;-38.858623080000015;1568.2404701555552
84.74589480000002;-39.82280924999999;1553.3381290960579
84.74589480000002;-39.82280924999999;1553.3381290960579
88.95722877;-40.77696464999998;1537.2225586287675
88.95722877;-40.77696464999998;1537.2225586287675
93.33047763;-41.71242171;1520.3082675088351
93.33047763;-41.71242171;1520.3082675088351
97.87368816;-42.63517719;1501.2971150253304
97.87368816;-42.63517719;1501.2971150253304
102.60075447;-43.52359932000001;1481.9319222833476
102.60075447;-43.52359932000001;1481.9319222833476
107.52424989000004;-44.35861776000001;1462.8967539475275
107.52424989000004;-44.35861776000001;1462.8967539475275
112.65268539000003;-45.144720179999986;1443.1761429047551
112.65268539000003;-45.144720179999986;1443.1761429047551
117.99717356999999;-45.874042440000025;1423.0353777533776
117.99717356999999;-45.874042440000025;1423.0353777533776
123.56774289000002;-46.54940631;1401.7294164919501
123.56774289000002;-46.54940631;1401.7294164919501
129.37755093000004;-47.151447090000005;1380.1983235817177
129.37755093000004;-47.151447090000005;1380.1983235817177
135.44020802999998;-47.65290450000001;1360.8620926691176
135.44020802999998;-47.65290450000001;1360.8620926691176
141.76692456;-48.053479379999985;1340.9142926320576
141.76692456;-48.053479379999985;1340.9142926320576
148.37028384000004;-48.33031905;1324.2336196712176
148.37028384000004;-48.33031905;1324.2336196712176
155.26101353999996;-48.44068055999999;1314.1816695664652
155.26101353999996;-48.44068055999999;1314.1816695664652
162.45000000000002;-48.51000000000001;1314.1816695664652
162.45000000000002;-48.51000000000001;1314.1816695664652
173.23623677999996;-48.270656609999975;1273.5944235239401
173.23623677999996;-48.270656609999975;1273.5944235239401
184.70649231;-47.780576640000014;1256.94840649518
184.70649231;-47.780576640000014;1256.94840649518
196.86239711999997;-46.93700123999999;1246.2890284026
196.86239711999997;-46.93700123999999;1246.2890284026
209.73028718999998;-45.74576903999998;1238.4587348546177
209.73028718999998;-45.74576903999998;1238.4587348546177
223.30121916000002;-44.09995337999999;1240.227947142765
223.30121916000002;-44.09995337999999;1240.227947142765
237.55698558000003;-41.96189609999999;1249.8944666189625
237.55698558000003;-41.96189609999999;1249.8944666189625
252.47351412000003;-39.31833654000001;1273.1769292759652
252.47351412000003;-39.31833654000001;1273.1769292759652
268.16488329;-36.37171754999999;1299.777751914075
268.16488329;-36.37171754999999;1299.777751914075
284.59493538000004;-33.29870187;1321.7371556689125
284.59493538000004;-33.29870187;1321.7371556689125
301.85206170000004;-30.26419590000001;1342.11715916166
301.85206170000004;-30.26419590000001;1342.11715916166
319.9682901;-27.484517078999993;1359.9813480704327
319.9682901;-27.484517078999993;1359.9813480704327
339.0236979;-25.206941303999994;1375.2266795601076
339.0236979;-25.206941303999994;1375.2266795601076
359.02059210000004;-23.817162576;1383.180708881475
359.02059210000004;-23.817162576;1383.180708881475
380.0168115000001;-23.638692431999996;1383.4406544991202
380.0168115000001;-23.638692431999996;1383.4406544991202
401.84852699999993;-24.960103317;1378.7063998525127
401.84852699999993;-24.960103317;1378.7063998525127
424.55353920000005;-28.178885759999993;1355.5159359375375
424.55353920000005;-28.178885759999993;1355.5159359375375
447.7699182;-33.61464536999999;1293.28946033175
447.7699182;-33.61464536999999;1293.28946033175
